ID,DetoP(GPa),smiles
BURKUU,15,COCOc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
BUSLUY,6,N#C[C@]1([N+](=O)[O-])[C@H]2C=C[C@@H]([C@@H]1c1ccccc1)C2
BUTDID,6.9,O=C(c1ccccc1)Nc1ccc(cc1)[N+](=O)[O-]
BUXJAH,10.2,N#Cc1cccc(c1C#N)[N+](=O)[O-]
BUYJAG,7.2,COC(=O)N[C@@H]1[C@H](C)O[C@@H](C[C@@]1(C)[N+](=O)[O-])OC
BUYPUG10,18.2,[O-][N+](=O)[C@]12C[C@]3(C[C@@](C2)(C[C@@](C1)(C3)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
BUZVOH,7.3,Cc1ccc(c(c1)[N+](=O)[O-])N/N=C\1/C=CC(=O)C2=CC=CC=C1C2
BYPOXO,10.1,O=C1OC(=N/C/1=C\c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])c1ccccc1
BZOCYX10,7.6,N#C/C(=N/O[C@@](c1ccccc1)([N+](=O)[O-])C#N)/c1ccccc1
CABLIA,5.9,CCC(=O)N1C[C@@H]2[C@@]3([C@H]1CC(=O)C=C3CCC2)[N+](=O)[O-]
CACBUF,6.4,CC(=O)Nc1c(C)cc(cc1[N+](=O)[O-])C
CACFOD01,13.7,[O-][N+](=O)c1cc(ccc1N/N=C/1\CCCC(=C1[N+](=O)[O-])C)[N+](=O)[O-]
CACNIG,6.1,[O-][N+](=O)c1ccccc1[C@H](Cc1cnc(o1)c1ccccc1)O
CAFQUW,17,Nc1ccn(c(=O)n1)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
CAJTEM,6.9,[O-][N+](=O)c1ccc2n(c1)c(cn2)c1ccccc1
CANKIL,8.2,CNC1=NC(=C(/C/1=N\c1ccccc1)[N+](=O)[O-])NC
CANXIA,21.6,OCC(C([N+](=O)[O-])(CO)CO)([N+](=O)[O-])CO
CASBOQ01,25.3,[O-][N+](=O)c1c[nH]nc1n1cnnn1
CATJIQ01,36.9,[O-][N+](=O)N1CC(CN(CC(C1)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
CATLUE,10.8,O=Cc1cn(nc1c1ccccc1O)c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
CAVDAF,8,O=C1ON([C@@H](N1c1ccccc1)c1ccccc1[N+](=O)[O-])C
CAVROG,6.5,N#CC([C@]1(C)C(=C1C)C)(c1ccc(cc1)[N+](=O)[O-])C#N
CAWWED,5.5,CN(c1nc(ccc1[N+](=O)[O-])Nc1ccccc1)c1ccccc1
CAXNIY,11.2,[O-][N+](=O)C1([C@@H]2C[C@@H]3C[C@H]1C[C@H](C2)C3)[N+](=O)[O-]
CAYMAR,5.7,[O-][N+](=O)c1cccc2c1nc(NCc1ccccc1)cc2
CECCEU,6.3,[O-][N+](=O)c1cccc2c1c1ccccc1NC2
CEDMUV,13.5,[O-][N+](=O)c1ccc(cc1)Cc1nnn[nH]1
CEDQAF,8.4,Oc1cccc(c1)/C=N/NC(=O)c1ccc(cc1)[N+](=O)[O-]
CEDZUG,19.9,[O-][N+](=O)[C@]12[C@H]3[C@H]4[C@@H]2[C@H]2[C@@H]1[C@@H]3[C@@]42[N+](=O)[O-]
CEGVOB,8,COc1ccc(cc1)C(=O)Nc1ccc(cc1[N+](=O)[O-])OC
CEKVOD,7.9,[O-][N+](=O)c1ccccc1N/N=C/c1ccccc1
CEQXEB,17.9,CC(=NNc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C
CICMAD01,7.9,Oc1ccc(cc1/C=N/Nc1ccccc1)[N+](=O)[O-]
CIDQIP,6.7,CC(Nc1ccc(cc1NC(=O)C)[N+](=O)[O-])C
CIFROY,24.1,[O-][N+](=O)c1n[nH]cn1
CIGSUJ,30,[O-][N+](=O)OCc1onc(n1)c1noc(n1)CO[N+](=O)[O-]
CIJBAA,7.6,[O-][N+](=O)c1ccc2c(c1)c(nc(n2)c1ccccc1[N+](=O)[O-])c1ccccc1
CIJDAC,6.8,CCOC(=O)/C(=C(\N)/C)/[C@@H](c1cccc(c1)[N+](=O)[O-])C(C#N)C#N
CIJYIE,13.4,N#Cc1[nH]c(nc1[N+](=O)[O-])C
CILBII,27.5,CO[C@@H]1O[C@H](CO[N+](=O)[O-])[C@H]([C@@H]([C@H]1O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]
CINVIE,18,[O-][N+](=O)C1=C[C@@]([N+](=O)[O-])(C2CC2)[C@@H]([C@](C1=O)(C)O)[N+](=O)[O-]
CIQCAJ,8.9,[O-][N+](=O)c1cc(N/C=C\2/C=CC=C(C2=O)OC)c(cc1)O
CIQRIE,8.6,[O-][N+](=O)c1ccc(cc1)OCCCCOc1ccc(cc1)[N+](=O)[O-]
CIVVEI10,15.1,CC(=O)Oc1cc(cc2c1c1cc(cc(c1[nH]c2=O)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
CIWMAW01,26.3,Nc1nc(N)c(nc1[N+](=O)[O-])[N+](=O)[O-]
CIWMEA10,37.6,[O-][N+](=O)N1CC(C1)([N+](=O)[O-])[N+](=O)[O-]
CMDNFL,9.8,N#CC(=C1c2cc(ccc2c2c1cc(cc2)[N+](=O)[O-])[N+](=O)[O-])C#N
CMNFLU10,15.9,N#CC(=C1c2cc(cc(c2c2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C#N
CNOXPA,9,N#CC1=C(C)N/C(=C\[N+](=O)[O-])/C(=O)C1(C)C
COCNBZ01,9.7,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@H]1CCCCCC=C1
CODYAX,9.7,[O-][N+](=O)c1ccc(cc1)/N=N/c1ccc(c(c1)C(=O)O)O
COGFUB,31,[O-][N+](=O)c1n(/N=N/n2cnc(c2[N+](=O)[O-])[N+](=O)[O-])cnc1[N+](=O)[O-]
COGGAI,32.2,[O-][N+](=O)c1ncn(n1)/N=N/n1cnc(n1)[N+](=O)[O-]
COMGUG,7.2,O=C1c2ccccc2C(=O)N1c1ccccc1[N+](=O)[O-]
COQVAF,9,N#C/C(=C\c1ccccc1OC)/[N+](=O)[O-]
COWBEV,28.5,N#[N+][N-]CN1CN(CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
COWNUX,5.5,CN1[C@@H]2CCCC[C@@H]2CO[C@H]1c1ccc(cc1)[N+](=O)[O-]
COXXIW,9.9,OC[C@H]([C@@H](c1ccc(cc1)[N+](=O)[O-])O)N
COYLAF03,36.2,[O-][N+](=O)C([N+](=O)[O-])([N+](=O)[O-])CNc1nonc1NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
CTMTNA,35.4,[O-][N+](=O)N1CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-]
CUBHEO,7.8,COc1ccc(cc1)N1C(=O)c2c(C1=O)cccc2[N+](=O)[O-]
CUBKAN,8,COc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)[N+](=O)[O-]
CUDYEH,9.9,CCOC(=O)CCn1cc([N+](=O)[O-])c(=O)[nH]c1=O
CUDYIL,12.3,COC(=O)CCn1cc([N+](=O)[O-])c(=O)[nH]c1=O
CUHZEM,7.6,O=C1N(/N=C/c2ccc(cc2)[N+](=O)[O-])CNc2c1cccc2
CUKCAM10,18,OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
CUKRUW,9.1,[O-][N+](=O)c1ccc(cc1)c1ncc2n1nc(o2)C1CCC1
CUKSIK,6.7,[O-][N+](=O)c1cnn(c1)[C@]12C[C@@H]3C[C@H](C1)C[C@](C2)(C3)O
CUMQEI,8.2,[O-][N+](=O)c1ccccc1/N=N/c1c(C)nn(c1N)c1ccccc1
CUNCOE,6,N#CC1(C#N)[C@@H]([C@H]1c1ccccc1)c1ccc(cc1)[N+](=O)[O-]
CUNGAT,15.4,CN/C=C/[N+](=O)[O-]
CUNTOU,9,CC(=O)/C(=N/Nc1ccccc1[N+](=O)[O-])/C
