ID,Density(g/cm^3),smiles
BUSLUY,1.2791,N#C[C@]1([N+](=O)[O-])[C@H]2C=C[C@@H]([C@@H]1c1ccccc1)C2
BUTDID,1.4413,O=C(c1ccccc1)Nc1ccc(cc1)[N+](=O)[O-]
BUXJAH,1.4694,N#Cc1cccc(c1C#N)[N+](=O)[O-]
BUYJAG,1.2815,COC(=O)N[C@@H]1[C@H](C)O[C@@H](C[C@@]1(C)[N+](=O)[O-])OC
BUYPUG10,1.6053,[O-][N+](=O)[C@]12C[C@]3(C[C@@](C2)(C[C@@](C1)(C3)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
BUZVOH,1.3828,Cc1ccc(c(c1)[N+](=O)[O-])N/N=C\1/C=CC(=O)C2=CC=CC=C1C2
BYPOXO,1.5349,O=C1OC(=N/C/1=C\c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])c1ccccc1
BZOCYX10,1.343,N#C/C(=N/O[C@@](c1ccccc1)([N+](=O)[O-])C#N)/c1ccccc1
CABLIA,1.3302,CCC(=O)N1C[C@@H]2[C@@]3([C@H]1CC(=O)C=C3CCC2)[N+](=O)[O-]
CACBUF,1.295,CC(=O)Nc1c(C)cc(cc1[N+](=O)[O-])C
CACFOD01,1.5054,[O-][N+](=O)c1cc(ccc1N/N=C/1\CCCC(=C1[N+](=O)[O-])C)[N+](=O)[O-]
CACNIG,1.3523,[O-][N+](=O)c1ccccc1[C@H](Cc1cnc(o1)c1ccccc1)O
CAFQUW,1.5918,Nc1ccn(c(=O)n1)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
CAJTEM,1.3822,[O-][N+](=O)c1ccc2n(c1)c(cn2)c1ccccc1
CANKIL,1.3527,CNC1=NC(=C(/C/1=N\c1ccccc1)[N+](=O)[O-])NC
CANXIA,1.6901,OCC(C([N+](=O)[O-])(CO)CO)([N+](=O)[O-])CO
CASBOQ01,1.7694,[O-][N+](=O)c1c[nH]nc1n1cnnn1
CATJIQ01,1.8706,[O-][N+](=O)N1CC(CN(CC(C1)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
CATLUE,1.5343,O=Cc1cn(nc1c1ccccc1O)c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
CAVDAF,1.4163,O=C1ON([C@@H](N1c1ccccc1)c1ccccc1[N+](=O)[O-])C
CAVROG,1.2503,N#CC([C@]1(C)C(=C1C)C)(c1ccc(cc1)[N+](=O)[O-])C#N
CAWWED,1.3065,CN(c1nc(ccc1[N+](=O)[O-])Nc1ccccc1)c1ccccc1
CAXNIY,1.4499,[O-][N+](=O)C1([C@@H]2C[C@@H]3C[C@H]1C[C@H](C2)C3)[N+](=O)[O-]
CAYMAR,1.3476,[O-][N+](=O)c1cccc2c1nc(NCc1ccccc1)cc2
CECCEU,1.3824,[O-][N+](=O)c1cccc2c1c1ccccc1NC2
CEDMUV,1.5448,[O-][N+](=O)c1ccc(cc1)Cc1nnn[nH]1
CEDQAF,1.4611,Oc1cccc(c1)/C=N/NC(=O)c1ccc(cc1)[N+](=O)[O-]
CEDZUG,1.6618,[O-][N+](=O)[C@]12[C@H]3[C@H]4[C@@H]2[C@H]2[C@@H]1[C@@H]3[C@@]42[N+](=O)[O-]
CEGVOB,1.4485,COc1ccc(cc1)C(=O)Nc1ccc(cc1[N+](=O)[O-])OC
CEKVOD,1.4071,[O-][N+](=O)c1ccccc1N/N=C/c1ccccc1
CEQXEB,1.5701,CC(=NNc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C
CICMAD01,1.4012,Oc1ccc(cc1/C=N/Nc1ccccc1)[N+](=O)[O-]
CIDQIP,1.3388,CC(Nc1ccc(cc1NC(=O)C)[N+](=O)[O-])C
CIFROY,1.669,[O-][N+](=O)c1n[nH]cn1
